ring_id,cashout_account,cashout_txn,cashout_city,cashout_latitude,cashout_longitude,cashout_timestamp,hops_from_victim,amount_withdrawn
0,ACC-158C2AC522,TXN-0B45CCB703,Jalandhar,31.42687,75.67161,2026-08-23T07:27:19,5,214821.1
1,ACC-3C5DA12D88,TXN-E2DB395284,Jalandhar,31.2007,75.4919,2026-02-03T12:28:53,5,104141.6
2,ACC-4693C5B9D7,TXN-15170D22F5,Bhopal,23.38831,77.37579,2026-08-19T21:31:36,3,40116.46
3,ACC-FE2A6C5D9B,TXN-E0A8151925,Delhi,28.56306,77.31115,2026-04-14T01:41:15,3,192348.12
4,ACC-06BEEA1409,TXN-086FAB7067,Ahmedabad,22.99859,72.59257,2026-02-02T20:47:41,4,115253.25
5,ACC-758ECF5444,TXN-B426FC523A,Mumbai,19.02873,72.85368,2026-04-08T10:11:56,3,45569.92
6,ACC-2DE14B1952,TXN-EB3FC6CF8A,Chennai,13.04779,80.20443,2026-06-21T01:32:13,5,18459.23
7,ACC-E88C697A17,TXN-DB1E1B32B6,Ranchi,23.46775,85.17891,2026-07-14T05:35:03,4,253836.92
8,ACC-26A6B0A4B8,TXN-EB6131EA96,Guwahati,26.1669,91.85101,2026-03-26T05:39:57,4,79092.34
9,ACC-83EF39CC02,TXN-557B4011BB,Bhopal,23.16734,77.29725,2026-04-02T15:56:04,4,199270.37
10,ACC-22AED06942,TXN-3749C50900,Guwahati,26.03352,91.64102,2026-04-20T20:42:11,6,61873.61
11,ACC-AE5FF97E57,TXN-6993BBE021,Bhopal,23.26099,77.35581,2026-01-13T11:39:30,3,37087.01
12,ACC-CA1AF93483,TXN-CF21F23144,Delhi,28.68751,77.2843,2026-05-29T14:10:10,5,93733.08
13,ACC-A1370249D2,TXN-C05CF7EA25,Bhopal,23.35889,77.2889,2026-03-12T08:36:28,5,121275.11
14,ACC-9E293F3B19,TXN-8398E6AB01,Delhi,28.6737,77.28667,2026-07-20T05:39:17,5,118806.94
15,ACC-4BBA8FBD07,TXN-62D7007E7F,Hyderabad,17.39145,78.35511,2026-01-31T20:47:23,3,285267.19
