complaint_id,ring_id,victim_account,victim_city,fraud_type,reported_loss,filed_at,fraud_start_at
NCRP-100000,0,ACC-CE7F594A4D,Jalandhar,Investment fraud,178701.97,2026-08-23T07:41:19,2026-08-22T02:41:19
NCRP-100001,1,ACC-E4D956169B,Jalandhar,Job/task fraud,421196.77,2026-02-04T08:06:53,2026-02-02T08:06:53
NCRP-100002,2,ACC-5DF7BA419B,Bhopal,KYC update fraud,104616.43,2026-08-20T03:05:36,2026-08-19T06:05:36
NCRP-100003,3,ACC-26299DBBE2,Bhopal,Investment fraud,16944.58,2026-04-15T04:31:15,2026-04-13T14:31:15
NCRP-100004,4,ACC-987D5186FF,Delhi,Loan app fraud,308549.12,2026-02-03T14:22:41,2026-02-01T20:22:41
NCRP-100005,5,ACC-D83259208A,Mumbai,Investment fraud,203767.35,2026-04-08T04:47:56,2026-04-07T14:47:56
NCRP-100006,6,ACC-85AC05E5A5,Bhopal,Digital arrest scam,45539.37,2026-06-19T23:20:13,2026-06-19T21:20:13
NCRP-100007,7,ACC-4A47316C8C,Hyderabad,Investment fraud,241535.19,2026-07-13T14:43:03,2026-07-13T00:43:03
NCRP-100008,8,ACC-D8699EEE1D,Chennai,Job/task fraud,352530.42,2026-03-26T19:35:57,2026-03-25T07:35:57
NCRP-100009,9,ACC-657609C08F,Chennai,Investment fraud,91337.62,2026-04-03T04:05:04,2026-04-01T23:05:04
NCRP-100010,10,ACC-62C9B30B52,Guwahati,Job/task fraud,94847.8,2026-04-20T16:06:11,2026-04-19T10:06:11
NCRP-100011,11,ACC-935C26412C,Bhopal,KYC update fraud,253202.5,2026-01-13T13:51:30,2026-01-12T18:51:30
NCRP-100012,12,ACC-1AEAF48BA6,Bengaluru,Investment fraud,434646.89,2026-05-28T16:41:10,2026-05-28T08:41:10
NCRP-100013,13,ACC-38125A3F0C,Bhopal,KYC update fraud,107960.95,2026-03-11T16:54:28,2026-03-10T21:54:28
NCRP-100014,14,ACC-6F92D1001C,Delhi,OTP/phishing fraud,344209.74,2026-07-20T22:19:17,2026-07-19T05:19:17
NCRP-100015,15,ACC-9934B3DD8C,Hyderabad,Loan app fraud,73054.96,2026-02-01T11:12:23,2026-01-30T20:12:23
NCRP-100016,16,ACC-C2CD509572,Nagpur,OTP/phishing fraud,376976.31,2026-02-22T08:17:00,2026-02-22T00:17:00
NCRP-100017,17,ACC-E7AF0C472F,Jalandhar,Loan app fraud,130151.45,2026-05-22T03:45:57,2026-05-21T07:45:57
NCRP-100018,18,ACC-922BDE8E19,Nagpur,OTP/phishing fraud,201287.94,2026-05-27T22:45:11,2026-05-26T08:45:11
NCRP-100019,19,ACC-7714EB2FD4,Hyderabad,Job/task fraud,29520.85,2026-08-11T01:57:09,2026-08-10T03:57:09
NCRP-100020,20,ACC-85EC07A476,Patna,Digital arrest scam,177397.88,2026-02-07T23:27:31,2026-02-06T07:27:31
NCRP-100021,21,ACC-DF9A361BD2,Delhi,Investment fraud,24439.31,2026-04-25T18:16:48,2026-04-24T19:16:48
NCRP-100022,22,ACC-79B1233095,Chennai,Investment fraud,69620.71,2026-03-05T13:21:57,2026-03-04T12:21:57
NCRP-100023,23,ACC-E64FD4E399,Hyderabad,Loan app fraud,348087.93,2026-05-28T23:23:52,2026-05-27T00:23:52
NCRP-100024,24,ACC-FABBF9DE2B,Hyderabad,Loan app fraud,422730.12,2026-07-21T21:56:49,2026-07-20T02:56:49
NCRP-100025,25,ACC-D0D845DD09,Hyderabad,Digital arrest scam,234153.87,2026-01-07T17:14:44,2026-01-06T18:14:44
NCRP-100026,26,ACC-CD3835148D,Guwahati,Job/task fraud,336831.5,2026-04-02T10:58:37,2026-04-02T08:58:37
NCRP-100027,27,ACC-895B703946,Jalandhar,KYC update fraud,94744.44,2026-01-13T23:31:51,2026-01-12T21:31:51
NCRP-100028,28,ACC-5C2F468B75,Ahmedabad,Investment fraud,67002.78,2026-03-11T15:08:05,2026-03-11T02:08:05
NCRP-100029,29,ACC-AD81F68BC6,Bengaluru,OTP/phishing fraud,93952.92,2026-04-04T13:42:28,2026-04-03T11:42:28
NCRP-100030,30,ACC-2791350187,Nagpur,Digital arrest scam,373005.23,2026-08-17T03:14:23,2026-08-15T15:14:23
NCRP-100031,31,ACC-BBDE179900,Mumbai,OTP/phishing fraud,170611.7,2026-08-17T23:57:23,2026-08-16T17:57:23
