account_id,pagerank,in_degree,out_degree,kyc_completeness,account_age_days,prior_fraud_flag,is_cashout
ACC-7E1F4AC50C,0.0017338323578621878,5,0,0.74,1008,0,0
ACC-0F76706FB1,0.00019154940324857343,0,1,0.83,361,0,0
ACC-C9EC862861,0.0010561831202198465,4,0,0.87,2470,0,0
ACC-A7A8933842,0.000996596632987617,4,1,0.88,907,0,0
ACC-F8D246D2D0,0.0005559534463556426,1,2,0.8,658,0,0
ACC-9057966242,0.002764778629099512,2,3,0.81,423,0,0
ACC-E73288F9DD,0.00025634869387235236,1,1,0.92,3310,0,0
ACC-742872BC2B,0.0003628534828927386,2,3,0.79,327,0,0
ACC-777B646391,0.001231632290812018,2,2,0.91,2369,0,0
ACC-B774B2D1BC,0.00038407215509732176,2,4,0.96,331,0,0
ACC-5CF210449D,0.0004947077864370904,3,6,0.81,1499,0,0
ACC-32FCC8C65C,0.0010656224677061236,6,3,0.88,2804,0,0
ACC-8762C82C0F,0.0004948770321207854,1,6,0.78,1898,0,0
ACC-FFAB625EFD,0.0017812725004303224,3,3,0.95,2809,0,0
ACC-8F1BE8A8CB,0.00042986823195421335,2,4,0.82,3302,0,0
ACC-9E1489C0CB,0.0012054045426283697,6,3,0.76,3594,0,0
ACC-4E99782B8B,0.0024599295154377047,7,6,0.78,1884,0,0
ACC-1246A18253,0.00027379892592696586,1,2,0.83,3064,0,0
ACC-98BF50FBA3,0.00019154940324857343,0,0,0.85,571,0,0
ACC-CF494D791D,0.0008785563325575094,2,4,0.94,2575,0,0
ACC-832DB8563C,0.00026306242910961177,1,7,0.86,2445,0,0
ACC-E03D1772D7,0.00038661948152211444,1,6,0.9,2957,0,0
ACC-95F0624A85,0.0005015768144942076,3,1,0.79,1398,0,0
ACC-0C3C054753,0.0009031144330408634,3,3,0.99,3592,0,0
ACC-40E0FD9381,0.0016566234189474992,3,4,0.95,3570,0,0
ACC-1BB80E9374,0.0022127398930143418,3,2,0.86,3128,0,0
ACC-071B895276,0.0009468331919443533,5,3,0.85,2458,0,0
ACC-D2D793E5E9,0.0007670261024557184,2,5,0.77,3411,0,0
