txn_id,from_account,to_account,amount,channel,timestamp,is_fraud_chain,is_cashout,ring_id
TXN-98D4F43CDD,ACC-BF9CB7E353,ACC-1672980D7E,18957.65,RTGS,2026-05-22T20:48:45,False,False,
TXN-0FC35CD13C,ACC-DE5B619833,ACC-E29496DB40,44931.69,UPI,2026-07-20T15:38:50,False,False,
TXN-4BC97B496E,ACC-C456B6C5DF,ACC-765C988E8A,48639.17,IMPS,2026-07-20T12:56:01,False,False,
TXN-9E16DE8CAB,ACC-3F1332028A,ACC-F8EA76CDC7,40898.39,NEFT,2026-07-09T01:52:43,False,False,
TXN-A2E128E483,ACC-42561BAF46,ACC-0BA8E5E1C6,528.56,IMPS,2026-06-20T20:09:11,False,False,
TXN-A6E55E23A2,ACC-38E209123A,ACC-3B161F37FC,4038.99,NEFT,2026-03-24T03:28:56,False,False,
TXN-170564BF79,ACC-D7879A2627,ACC-814BB3CD63,8036.4,UPI,2026-03-31T10:59:00,False,False,
TXN-46D7C9617F,ACC-31FE231B1B,ACC-A6FBC3240E,36068.73,RTGS,2026-07-05T22:52:33,False,False,
TXN-78AC44B38F,ACC-640FAAC1A6,ACC-AEE8AC8B42,29621.39,RTGS,2026-01-09T17:12:44,False,False,
TXN-2FDDCBCD1F,ACC-A04FEE425F,ACC-0EF6EF4616,6568.68,IMPS,2026-02-22T07:43:08,False,False,
TXN-0BB7F6E23D,ACC-5DF531FCA6,ACC-527DD88844,2151.71,IMPS,2026-01-22T17:08:15,False,False,
TXN-443C5B9987,ACC-3EF22AE255,ACC-9912037D7A,46137.85,RTGS,2026-08-21T18:25:01,False,False,
TXN-D0ABD23F99,ACC-44A90443FC,ACC-47795EDE90,1127.28,NEFT,2026-02-03T07:14:02,False,False,
TXN-BA94317BAA,ACC-ACDADA8CEB,ACC-F3BE1B6D2F,30404.99,RTGS,2026-07-07T01:28:29,False,False,
TXN-E37B26252D,ACC-130E527A8D,ACC-B7823C27D8,41552.11,IMPS,2026-08-15T06:39:20,False,False,
TXN-FE49EE6E6A,ACC-22F56C107F,ACC-40FD962921,31235.94,NEFT,2026-03-07T03:16:46,False,False,
TXN-51A18335D6,ACC-FC1CE0B093,ACC-6428682424,17265.03,RTGS,2026-08-20T16:05:38,False,False,
TXN-86E5CEC6A7,ACC-02F5E7CB8F,ACC-6EB684699B,11644.73,RTGS,2026-02-21T08:18:58,False,False,
TXN-B8B1BB98DA,ACC-64AB233688,ACC-4E99782B8B,10276.96,RTGS,2026-02-28T02:00:40,False,False,
TXN-9DE47681DB,ACC-F2C2B527B9,ACC-C9091D07F2,9035.62,UPI,2026-07-26T09:17:10,False,False,
TXN-702EE4F136,ACC-E6B5060B5D,ACC-71321C26BF,6052.32,RTGS,2026-02-20T14:45:10,False,False,
TXN-572415E4C3,ACC-C470247F3E,ACC-54B9E3F978,41410.58,RTGS,2026-07-22T17:48:17,False,False,
TXN-6D89625B18,ACC-D4C1048A81,ACC-220F23770A,43766.25,RTGS,2026-03-31T02:58:00,False,False,
TXN-A171DF3D2F,ACC-42561BAF46,ACC-5BA2323BCA,19185.58,UPI,2026-06-15T05:50:55,False,False,
TXN-CC7F835A37,ACC-933DCCC0E8,ACC-F114605CC3,23961.63,IMPS,2026-02-02T13:14:11,False,False,
TXN-4CF440432E,ACC-4FE08D8EDF,ACC-4C3B5F7DD0,43862.96,RTGS,2026-04-11T02:54:59,False,False,
TXN-FDE8FDDB77,ACC-7ADF18BB0F,ACC-9057966242,35515.61,UPI,2026-08-13T11:13:50,False,False,
TXN-69BF5574CC,ACC-0E2386D597,ACC-1A158E2B39,26084.14,RTGS,2026-03-21T18:38:27,False,False,
TXN-BE8C76AAB2,ACC-2847A7188C,ACC-6AC42DA33C,20560.48,UPI,2026-03-02T02:38:27,False,False,
TXN-BB919B3215,ACC-73A9A3591F,ACC-A080E0B4CA,29351.44,NEFT,2026-07-28T04:51:35,False,False,
TXN-455959F758,ACC-852D8A89CD,ACC-76445D988C,18409.08,NEFT,2026-06-04T08:32:28,False,False,
TXN-A295B5742A,ACC-27F3C98FB7,ACC-866F9BCA0B,20778.76,RTGS,2026-03-11T09:47:14,False,False,
TXN-45376A8D7C,ACC-220F23770A,ACC-69261F9DE4,27834.59,NEFT,2026-04-30T02:12:50,False,False,
TXN-715B33C2F8,ACC-FE101774C0,ACC-A34D67F943,38754.89,RTGS,2026-02-23T14:53:30,False,False,
TXN-7286FC8A03,ACC-DCADBBE396,ACC-41740025DD,37441.15,RTGS,2026-03-04T20:02:23,False,False,
TXN-A16B5D9EEF,ACC-9FC0AFB708,ACC-2B5F825F48,25515.51,NEFT,2026-08-02T19:44:32,False,False,
TXN-DF2ED8B329,ACC-43C7F95B7C,ACC-93A4E5AEC0,34291.31,UPI,2026-03-04T10:11:12,False,False,
TXN-E658F99DEB,ACC-38A80976AA,ACC-5B08E29A74,463.47,UPI,2026-02-26T10:33:33,False,False,
TXN-EC2B748ECC,ACC-B727761BBE,ACC-4FD85A4C52,21881.8,UPI,2026-04-13T04:11:42,False,False,
TXN-43D7531CA8,ACC-420FED7829,ACC-220F23770A,4185.98,UPI,2026-05-30T06:10:40,False,False,
TXN-71D44323A9,ACC-7F7EE3CA38,ACC-43C7F95B7C,32877.53,NEFT,2026-08-21T00:50:52,False,False,
TXN-9EF523642C,ACC-39DF57796E,ACC-B2F5356E7C,41047.39,RTGS,2026-06-20T11:30:57,False,False,
TXN-9EE02B3D30,ACC-5CF210449D,ACC-B0ADCF0EF4,42558.27,NEFT,2026-03-17T15:10:08,False,False,
TXN-F11017BC8F,ACC-49E8CB1413,ACC-86858D0E29,25625.28,IMPS,2026-08-27T21:59:10,False,False,
TXN-2321E5E775,ACC-DF69D91010,ACC-63DABB2760,1995.84,IMPS,2026-01-01T02:40:39,False,False,
TXN-50D632C667,ACC-AD385E3FB0,ACC-3C0BFA4E3C,49841.49,RTGS,2026-05-18T03:23:18,False,False,
TXN-C09C40F6D2,ACC-6E8E5F6E2C,ACC-750B08D60C,20391.46,IMPS,2026-07-21T01:42:42,False,False,
TXN-DEEE32FF7E,ACC-9E1489C0CB,ACC-049BEC7606,35240.37,UPI,2026-08-02T10:34:29,False,False,
TXN-1CF93B5B1B,ACC-6364A8BD24,ACC-3A002A27CF,41522.29,NEFT,2026-05-15T22:42:09,False,False,
TXN-D725A34B3B,ACC-5337FB769D,ACC-14BB7A2CD6,30396.9,IMPS,2026-06-26T14:39:40,False,False,
TXN-CFFCDD94BC,ACC-82303C3115,ACC-6E4E1E9D4F,431.64,IMPS,2026-06-08T02:46:11,False,False,
TXN-0540D6CC23,ACC-C56EE285EE,ACC-218D531755,28019.81,NEFT,2026-05-13T00:42:42,False,False,
TXN-9A6F79EA28,ACC-DC9B5ECFC2,ACC-A830244D0A,47844.13,NEFT,2026-06-21T22:54:10,False,False,
TXN-4DC5DCBD77,ACC-EB06C9ED42,ACC-831C4BCD37,24284.77,IMPS,2026-05-12T21:52:03,False,False,
TXN-AB9CAF9169,ACC-81F1B479A1,ACC-D4EEC9C86D,34143.41,UPI,2026-07-07T04:17:15,False,False,
TXN-2F0A8627DF,ACC-DC9B5ECFC2,ACC-9912037D7A,3564.2,IMPS,2026-03-31T07:06:15,False,False,
TXN-80F56F4A06,ACC-6AC42DA33C,ACC-805C00B3BA,47781.2,UPI,2026-04-13T06:35:49,False,False,
TXN-1A236BC4DD,ACC-CA717E470D,ACC-7D818E469A,4831.87,NEFT,2026-01-30T12:38:23,False,False,
TXN-304B938E15,ACC-EB16F1E385,ACC-DD605CC508,23932.46,NEFT,2026-03-26T21:11:02,False,False,
TXN-8D134EA2DB,ACC-DFFB3F40EF,ACC-43F0764A9E,9302.67,IMPS,2026-07-13T19:00:39,False,False,
TXN-3B9B922273,ACC-049BEC7606,ACC-D03850541F,11896.1,IMPS,2026-04-14T01:45:26,False,False,
